,city,coordinates,country,humidity,max_temp,pressure,wind_speed,cloudiness,lon,lat
518,Alpatovo,"{'lon': 45.2415, 'lat': 43.7028}",RU,77,50.77,1019,11.72,100,45.2415,43.7028
519,Nautla,"{'lon': -96.7833, 'lat': 20.2167}",MX,87,78.75,1011,4.81,100,-96.7833,20.2167
520,Petropavlovsk-Kamchatskiy,"{'lon': 158.6483, 'lat': 53.0452}",RU,39,43.39,1010,13.42,20,158.6483,53.0452
521,Acapulco de Juárez,"{'lon': -99.8901, 'lat': 16.8634}",MX,94,75.02,1011,12.66,90,-99.8901,16.8634
522,Azamgarh,"{'lon': 83.1861, 'lat': 26.06}",IN,64,73.85,1014,3.13,0,83.1861,26.06
523,Cayenne,"{'lon': -52.3333, 'lat': 4.9333}",GF,92,77.09,1013,3.44,75,-52.3333,4.9333
524,Kano,"{'lon': 8.5167, 'lat': 12.0001}",NG,24,78.6,1011,4.59,94,8.5167,12.0001
525,Sena Madureira,"{'lon': -68.6569, 'lat': -9.0656}",BR,92,75.54,1010,1.92,86,-68.6569,-9.0656
526,Soma,"{'lon': 27.6094, 'lat': 39.1855}",TR,75,53.78,1025,12.97,80,27.6094,39.1855
527,Yulara,"{'lon': 130.9889, 'lat': -25.2406}",AU,22,80.44,1017,16.11,0,130.9889,-25.2406
528,Santa Cruz del Sur,"{'lon': -77.9956, 'lat': 20.7147}",CU,77,79.72,1016,4.7,100,-77.9956,20.7147
529,Maués,"{'lon': -57.7186, 'lat': -3.3836}",BR,90,75.99,1011,3.13,46,-57.7186,-3.3836
530,Esso,"{'lon': 158.7, 'lat': 55.9333}",RU,88,28.08,1011,4.07,73,158.7,55.9333
531,Yavoriv,"{'lon': 23.3825, 'lat': 49.9386}",UA,79,27.68,1032,6.96,12,23.3825,49.9386
532,Baykit,"{'lon': 96.37, 'lat': 61.67}",RU,91,34.43,1007,9.4,99,96.37,61.67
533,Kodino,"{'lon': 39.6447, 'lat': 63.7198}",RU,95,22.12,1017,7.31,34,39.6447,63.7198
534,Rockport,"{'lon': -97.0544, 'lat': 28.0206}",US,87,81.05,1010,1.01,1,-97.0544,28.0206
535,Havøysund,"{'lon': 24.6622, 'lat': 70.9963}",NO,79,29.28,1011,17.0,58,24.6622,70.9963
536,Maniitsoq,"{'lon': -52.9, 'lat': 65.4167}",GL,54,23.32,1002,7.87,2,-52.9,65.4167
537,Kiryat Gat,"{'lon': 34.7642, 'lat': 31.61}",IL,100,68.68,1016,3.49,6,34.7642,31.61
538,Tālbahat,"{'lon': 78.4333, 'lat': 25.05}",IN,58,73.0,1015,3.71,0,78.4333,25.05
539,Buin,"{'lon': -70.75, 'lat': -33.7333}",CL,36,73.44,1017,7.05,0,-70.75,-33.7333
540,Walvis Bay,"{'lon': 14.5053, 'lat': -22.9575}",NA,88,59.09,1016,5.75,0,14.5053,-22.9575
541,Geraldton,"{'lon': 114.6, 'lat': -28.7667}",AU,82,66.61,1011,14.97,75,114.6,-28.7667
542,Rostovka,"{'lon': 71.8891, 'lat': 55.3842}",RU,54,48.52,1010,16.84,100,71.8891,55.3842
543,Christchurch,"{'lon': 172.6333, 'lat': -43.5333}",NZ,65,74.32,1012,4.0,2,172.6333,-43.5333
544,Shache,"{'lon': 77.2406, 'lat': 38.4167}",CN,35,47.73,1025,2.91,100,77.2406,38.4167
545,Kushima,"{'lon': 131.2333, 'lat': 31.4583}",JP,91,60.84,1019,4.29,100,131.2333,31.4583
546,Kamari,"{'lon': 25.8167, 'lat': 36.8}",GR,72,60.75,1020,30.09,96,25.8167,36.8
547,Hokitika,"{'lon': 170.9667, 'lat': -42.7167}",NZ,83,60.85,1015,8.43,98,170.9667,-42.7167
548,Kropotkin,"{'lon': 40.5756, 'lat': 45.4375}",RU,82,43.11,1026,5.3,100,40.5756,45.4375
549,Kindersley,"{'lon': -109.1682, 'lat': 51.4668}",CA,81,47.98,1004,20.71,20,-109.1682,51.4668
550,Ōtsuki,"{'lon': 138.9333, 'lat': 35.6}",JP,59,59.77,1025,5.01,99,138.9333,35.6
551,Heihe,"{'lon': 127.4902, 'lat': 50.2441}",CN,38,45.18,1013,9.66,1,127.4902,50.2441
