,city,coordinates,country,humidity,max_temp,pressure,wind_speed,cloudiness,lon,lat
136,Necochea,"{'lon': -58.7368, 'lat': -38.5473}",AR,45,61.03,1001,20.13,1,-58.7368,-38.5473
137,Vangaindrano,"{'lon': 47.6, 'lat': -23.35}",MG,94,74.12,1019,6.87,45,47.6,-23.35
138,Avera,"{'lon': -82.5271, 'lat': 33.194}",US,57,67.51,1018,5.66,100,-82.5271,33.194
139,Nome,"{'lon': -165.4064, 'lat': 64.5011}",US,93,31.15,993,14.97,90,-165.4064,64.5011
140,Petauke,"{'lon': 31.3253, 'lat': -14.2426}",ZM,40,73.74,1012,6.51,55,31.3253,-14.2426
141,Otane,"{'lon': 176.6333, 'lat': -39.8833}",NZ,57,72.32,1015,6.98,54,176.6333,-39.8833
142,Bandarbeyla,"{'lon': 50.8122, 'lat': 9.4942}",SO,76,76.86,1014,2.93,9,50.8122,9.4942
143,Areia Branca,"{'lon': -37.1369, 'lat': -4.9561}",BR,76,78.87,1014,18.75,35,-37.1369,-4.9561
144,Ankang,"{'lon': 109.0172, 'lat': 32.68}",CN,68,62.49,1023,2.55,98,109.0172,32.68
145,Hualmay,"{'lon': -77.6139, 'lat': -11.0964}",PE,81,63.18,1016,9.42,41,-77.6139,-11.0964
146,Chui,"{'lon': -53.4616, 'lat': -33.6971}",UY,66,57.2,1014,11.14,0,-53.4616,-33.6971
147,Yar-Sale,"{'lon': 70.8333, 'lat': 66.8333}",RU,81,21.94,1002,12.84,19,70.8333,66.8333
148,Sorokino,"{'lon': 84.9167, 'lat': 53.75}",RU,56,46.06,1021,14.05,100,84.9167,53.75
149,Honningsvåg,"{'lon': 25.9704, 'lat': 70.9821}",NO,67,35.44,1012,14.56,42,25.9704,70.9821
150,Ostrovnoy,"{'lon': 39.5131, 'lat': 68.0531}",RU,65,32.88,1012,11.27,100,39.5131,68.0531
151,Zigong,"{'lon': 104.7769, 'lat': 29.3416}",CN,79,60.82,1021,0.81,100,104.7769,29.3416
152,Batemans Bay,"{'lon': 150.1833, 'lat': -35.7167}",AU,37,66.99,1015,7.16,38,150.1833,-35.7167
153,Bathsheba,"{'lon': -59.5167, 'lat': 13.2167}",BB,78,81.21,1015,19.57,40,-59.5167,13.2167
154,Celestún,"{'lon': -90.4, 'lat': 20.8667}",MX,86,80.29,1013,7.67,28,-90.4,20.8667
155,Yabrūd,"{'lon': 36.6574, 'lat': 33.9674}",SY,48,50.52,1017,3.8,0,36.6574,33.9674
156,Thompson,"{'lon': -97.8558, 'lat': 55.7435}",CA,86,30.36,1022,2.3,75,-97.8558,55.7435
157,Wahiawā,"{'lon': -158.0236, 'lat': 21.5028}",US,72,79.12,1018,9.22,90,-158.0236,21.5028
158,Lorengau,"{'lon': 147.2712, 'lat': -2.0226}",PG,75,83.53,1010,6.85,35,147.2712,-2.0226
159,Laureles,"{'lon': -97.4941, 'lat': 26.1092}",US,68,81.95,1010,4.0,1,-97.4941,26.1092
160,Flagstaff,"{'lon': -111.6513, 'lat': 35.1981}",US,51,55.06,958,4.0,1,-111.6513,35.1981
161,Semporna,"{'lon': 118.6112, 'lat': 4.4818}",MY,79,84.4,1011,3.89,91,118.6112,4.4818
162,Hammerfest,"{'lon': 23.6821, 'lat': 70.6634}",NO,69,28.85,1010,14.97,0,23.6821,70.6634
163,Narsaq,"{'lon': -46.05, 'lat': 60.9167}",GL,44,30.42,992,7.09,4,-46.05,60.9167
164,Shimoda,"{'lon': 138.95, 'lat': 34.6667}",JP,65,62.96,1023,15.86,100,138.95,34.6667
165,Hong Kong,"{'lon': 114.1577, 'lat': 22.2855}",HK,74,72.97,1017,5.99,100,114.1577,22.2855
166,Dikson,"{'lon': 80.5464, 'lat': 73.5069}",RU,88,11.16,997,18.25,100,80.5464,73.5069
167,Vila Velha,"{'lon': -40.2925, 'lat': -20.3297}",BR,78,80.55,1014,12.66,40,-40.2925,-20.3297
168,Constitución,"{'lon': -72.4167, 'lat': -35.3333}",CL,85,54.41,1020,11.83,0,-72.4167,-35.3333
169,Padang,"{'lon': 100.3543, 'lat': -0.9492}",ID,86,79.65,1013,3.09,100,100.3543,-0.9492
170,Husavik,"{'lon': -17.3389, 'lat': 66.0449}",IS,98,39.11,994,14.2,100,-17.3389,66.0449
171,El Tigre,"{'lon': -64.2454, 'lat': 8.8875}",VE,88,74.61,1014,10.69,78,-64.2454,8.8875
172,Innisfail,"{'lon': 146.0333, 'lat': -17.5333}",AU,57,92.88,1014,7.94,0,146.0333,-17.5333
173,Isangel,"{'lon': 169.2667, 'lat': -19.55}",VU,66,80.19,1013,11.16,19,169.2667,-19.55
174,Chokurdakh,"{'lon': 147.9167, 'lat': 70.6333}",RU,97,-3.03,1004,2.01,100,147.9167,70.6333
175,Ariquemes,"{'lon': -63.0408, 'lat': -9.9133}",BR,97,72.46,1013,7.99,84,-63.0408,-9.9133
176,Kota Tinggi,"{'lon': 103.8999, 'lat': 1.7381}",MY,73,87.84,1011,1.86,28,103.8999,1.7381
177,Jombang,"{'lon': 112.2331, 'lat': -7.546}",ID,52,85.51,1011,5.77,24,112.2331,-7.546
178,Bahía Blanca,"{'lon': -62.2724, 'lat': -38.7196}",AR,33,67.89,1003,20.47,7,-62.2724,-38.7196
179,Muros,"{'lon': -9.0603, 'lat': 42.7762}",ES,93,60.84,1022,3.09,68,-9.0603,42.7762
180,Serik,"{'lon': 31.0989, 'lat': 36.9169}",TR,54,68.25,1016,8.32,7,31.0989,36.9169
181,Severobaykal'sk,"{'lon': 109.3167, 'lat': 55.65}",RU,79,37.96,1015,6.24,59,109.3167,55.65
182,Chumikan,"{'lon': 135.315, 'lat': 54.7183}",RU,64,44.51,1009,19.01,12,135.315,54.7183
183,Tawao,"{'lon': 117.8871, 'lat': 4.2498}",MY,74,84.33,1010,3.0,100,117.8871,4.2498
184,Hofn,"{'lon': -15.2082, 'lat': 64.2539}",IS,79,41.36,988,17.56,100,-15.2082,64.2539
185,Sarany,"{'lon': 58.8833, 'lat': 58.5}",RU,96,33.42,1008,9.69,100,58.8833,58.5
186,Salina Cruz,"{'lon': -95.2, 'lat': 16.1667}",MX,83,79.97,1012,8.5,96,-95.2,16.1667
187,Arzgir,"{'lon': 44.2206, 'lat': 45.3728}",RU,86,43.02,1023,16.73,100,44.2206,45.3728
188,Pangnirtung,"{'lon': -65.7125, 'lat': 66.1451}",CA,88,20.32,1011,2.01,98,-65.7125,66.1451
189,Longyearbyen,"{'lon': 15.6401, 'lat': 78.2186}",SJ,79,21.04,1019,10.36,75,15.6401,78.2186
190,Tuy Hoa,"{'lon': 109.3, 'lat': 13.0833}",VN,91,78.13,1013,16.58,100,109.3,13.0833
191,Gouré,"{'lon': 10.2704, 'lat': 13.9835}",NE,18,85.01,1010,7.72,88,10.2704,13.9835
192,Anloga,"{'lon': 0.8973, 'lat': 5.7947}",GH,83,77.22,1011,7.47,3,0.8973,5.7947
193,Arraial do Cabo,"{'lon': -42.0278, 'lat': -22.9661}",BR,91,71.01,1018,19.01,100,-42.0278,-22.9661
194,Kalmar,"{'lon': 16.3616, 'lat': 56.6616}",SE,81,48.96,1021,8.05,90,16.3616,56.6616
195,Kahului,"{'lon': -156.47, 'lat': 20.8947}",US,77,83.46,1016,27.63,20,-156.47,20.8947
196,Kaitangata,"{'lon': 169.8464, 'lat': -46.2817}",NZ,73,59.7,1013,8.16,94,169.8464,-46.2817
197,Bambous Virieux,"{'lon': 57.7575, 'lat': -20.3428}",MU,78,74.21,1022,12.66,20,57.7575,-20.3428
198,Oranjemund,"{'lon': 16.4333, 'lat': -28.55}",NA,75,58.73,1014,11.05,0,16.4333,-28.55
199,Saint-Philippe,"{'lon': 55.7679, 'lat': -21.3585}",RE,81,72.95,1023,14.16,48,55.7679,-21.3585
200,Kuah,"{'lon': 99.8432, 'lat': 6.3265}",MY,89,82.38,1011,2.3,20,99.8432,6.3265
201,Deoband,"{'lon': 77.6833, 'lat': 29.7}",IN,72,64.29,1016,4.63,0,77.6833,29.7
202,Port Lincoln,"{'lon': 135.8667, 'lat': -34.7333}",AU,61,60.06,1021,12.28,1,135.8667,-34.7333
203,Umm Bāb,"{'lon': 50.8072, 'lat': 25.2142}",QA,46,78.48,1011,4.32,0,50.8072,25.2142
204,Elizabethtown,"{'lon': -85.8591, 'lat': 37.694}",US,66,72.66,1012,13.8,1,-85.8591,37.694
205,Benguela,"{'lon': 13.4055, 'lat': -12.5763}",AO,73,74.1,1012,3.47,100,13.4055,-12.5763
206,Bairnsdale,"{'lon': 147.6167, 'lat': -37.8333}",AU,58,61.05,1019,4.0,75,147.6167,-37.8333
207,Iqaluit,"{'lon': -68.5145, 'lat': 63.7506}",CA,86,29.93,1012,5.01,90,-68.5145,63.7506
208,Novopokrovka,"{'lon': 36.5477, 'lat': 49.8425}",UA,70,39.58,1029,8.32,6,36.5477,49.8425
209,Stornoway,"{'lon': -6.3865, 'lat': 58.2093}",GB,87,49.93,996,11.5,75,-6.3865,58.2093
210,Bariloche,"{'lon': -71.3082, 'lat': -41.1456}",AR,50,51.44,1008,48.34,40,-71.3082,-41.1456
211,Leningradskiy,"{'lon': 178.4167, 'lat': 69.3833}",RU,93,2.41,1006,7.43,88,178.4167,69.3833
212,Dondo,"{'lon': 34.7431, 'lat': -19.6094}",MZ,86,74.82,1017,8.9,82,34.7431,-19.6094
213,Ballina,"{'lon': 153.5667, 'lat': -28.8667}",AU,79,71.64,1016,10.36,90,153.5667,-28.8667
214,Nohar,"{'lon': 74.7667, 'lat': 29.1833}",IN,76,68.4,1016,6.82,0,74.7667,29.1833
215,Bluff,"{'lon': 168.3333, 'lat': -46.6}",NZ,82,57.78,1012,13.62,99,168.3333,-46.6
216,Giohar,"{'lon': 45.5005, 'lat': 2.7809}",SO,82,76.19,1013,7.47,34,45.5005,2.7809
217,Klaksvík,"{'lon': -6.589, 'lat': 62.2266}",FO,87,49.12,988,22.79,86,-6.589,62.2266
218,Arua,"{'lon': 30.9111, 'lat': 3.0201}",UG,83,65.46,1012,1.25,91,30.9111,3.0201
219,Dongsheng,"{'lon': 109.9776, 'lat': 39.8161}",CN,34,48.87,1021,8.86,87,109.9776,39.8161
220,São João da Barra,"{'lon': -41.0511, 'lat': -21.6403}",BR,91,71.94,1016,19.8,100,-41.0511,-21.6403
221,Deputatsky,"{'lon': 139.9, 'lat': 69.3}",RU,95,4.12,1002,0.72,100,139.9,69.3
222,San Ramon,"{'lon': -121.978, 'lat': 37.7799}",US,95,62.04,1000,1.01,90,-121.978,37.7799
223,San Vicente,"{'lon': -54.1333, 'lat': -26.6167}",AR,91,50.85,1020,2.26,0,-54.1333,-26.6167
224,Bayburt,"{'lon': 40.2278, 'lat': 40.2589}",TR,81,39.43,1023,3.31,100,40.2278,40.2589
225,Severo-Kuril'sk,"{'lon': 156.125, 'lat': 50.6789}",RU,68,39.69,1017,15.64,96,156.125,50.6789
226,Makkah al Mukarramah,"{'lon': 39.8261, 'lat': 21.4267}",SA,61,77.95,1011,1.95,0,39.8261,21.4267
227,Yārāda,"{'lon': 83.2667, 'lat': 17.65}",IN,94,77.32,1012,2.3,75,83.2667,17.65
228,Fare,"{'lon': -151.0167, 'lat': -16.7}",PF,86,76.73,1012,13.11,100,-151.0167,-16.7
229,Port Elizabeth,"{'lon': 25.5701, 'lat': -33.918}",ZA,93,50.29,1024,4.61,0,25.5701,-33.918
230,Udachny,"{'lon': 112.4, 'lat': 66.4167}",RU,98,19.45,997,3.42,99,112.4,66.4167
231,Forsytheganj,"{'lon': 29.7333, 'lat': 52.6333}",BY,89,30.4,1033,3.94,12,29.7333,52.6333
232,Jardim,"{'lon': -56.1381, 'lat': -21.4803}",BR,79,65.97,1016,4.12,91,-56.1381,-21.4803
233,Lagoa,"{'lon': -27.9833, 'lat': 39.05}",PT,73,66.25,1029,7.05,56,-27.9833,39.05
234,Ponta Delgada,"{'lon': -25.6667, 'lat': 37.7333}",PT,77,63.32,1029,6.91,20,-25.6667,37.7333
235,Huilong,"{'lon': 121.655, 'lat': 31.8111}",CN,56,72.03,1024,8.72,44,121.655,31.8111
236,Yeniseysk,"{'lon': 92.1703, 'lat': 58.4497}",RU,87,39.69,1015,7.05,100,92.1703,58.4497
237,Izvestkovyy,"{'lon': 131.55, 'lat': 48.9833}",RU,40,50.13,1017,3.91,6,131.55,48.9833
238,Simbahan,"{'lon': 120.5836, 'lat': 6.3032}",PH,72,82.72,1010,5.1,16,120.5836,6.3032
239,Ancud,"{'lon': -73.8203, 'lat': -41.8697}",CL,87,53.42,1017,19.1,100,-73.8203,-41.8697
240,Panama City,"{'lon': -79.5197, 'lat': 8.9936}",PA,85,84.06,1009,2.3,20,-79.5197,8.9936
241,Bandar-e Lengeh,"{'lon': 54.8807, 'lat': 26.5579}",IR,57,81.0,1011,5.75,0,54.8807,26.5579
242,Sampit,"{'lon': 112.95, 'lat': -2.5333}",ID,61,88.86,1011,1.72,13,112.95,-2.5333
243,Salalah,"{'lon': 54.0924, 'lat': 17.0151}",OM,64,73.49,1013,4.61,0,54.0924,17.0151
244,Ambovombe,"{'lon': 46.0833, 'lat': -25.1667}",MG,91,71.83,1018,3.09,61,46.0833,-25.1667
245,Grand-Lahou,"{'lon': -5.0242, 'lat': 5.1367}",CI,89,77.11,1013,8.08,100,-5.0242,5.1367
246,Sarkand,"{'lon': 79.9186, 'lat': 45.41}",KZ,43,45.97,1018,3.96,0,79.9186,45.41
247,Cascais,"{'lon': -9.4215, 'lat': 38.6979}",PT,74,61.5,1023,5.01,98,-9.4215,38.6979
248,Namatanai,"{'lon': 152.4333, 'lat': -3.6667}",PG,65,85.96,1010,4.52,46,152.4333,-3.6667
249,Grindavik,"{'lon': -22.4338, 'lat': 63.8424}",IS,100,44.55,988,3.44,90,-22.4338,63.8424
250,São Sebastião,"{'lon': -45.4097, 'lat': -23.76}",BR,92,67.21,1020,4.9,100,-45.4097,-23.76
251,Purpe,"{'lon': 76.6897, 'lat': 64.4803}",RU,91,22.37,1004,11.74,80,76.6897,64.4803
252,Sur,"{'lon': 59.5289, 'lat': 22.5667}",OM,60,80.19,1012,9.98,7,59.5289,22.5667
253,Caborca,"{'lon': -111.101, 'lat': 30.5838}",MX,40,69.49,1012,7.0,0,-111.101,30.5838
254,Kichmengskiy Gorodok,"{'lon': 45.7854, 'lat': 59.9816}",RU,92,27.3,1019,7.76,69,45.7854,59.9816
255,Ous,"{'lon': 61.5186, 'lat': 60.9058}",RU,98,32.07,1006,3.04,100,61.5186,60.9058
256,Clyde River,"{'lon': -68.5914, 'lat': 70.4692}",CA,62,17.83,1009,8.05,90,-68.5914,70.4692
257,Zeya,"{'lon': 127.2667, 'lat': 53.75}",RU,78,39.96,1012,3.53,96,127.2667,53.75
258,Witbank,"{'lon': 29.2332, 'lat': -25.8713}",ZA,84,50.23,1022,11.32,44,29.2332,-25.8713
259,Bujumbura,"{'lon': 29.3644, 'lat': -3.3822}",BI,74,73.65,1011,4.14,100,29.3644,-3.3822
260,Poyarkovo,"{'lon': 128.6833, 'lat': 49.6}",RU,43,49.77,1015,11.07,6,128.6833,49.6
261,Puro,"{'lon': 123.3827, 'lat': 12.4841}",PH,74,83.84,1011,5.68,100,123.3827,12.4841
262,Alofi,"{'lon': -169.9187, 'lat': -19.0595}",NU,61,80.49,1013,18.41,32,-169.9187,-19.0595
263,Kabo,"{'lon': 18.629, 'lat': 7.6994}",CF,93,72.75,1010,3.47,100,18.629,7.6994
264,Ilulissat,"{'lon': -51.1, 'lat': 69.2167}",GL,74,-0.4,1007,7.72,71,-51.1,69.2167
265,Bhawānipatna,"{'lon': 83.1667, 'lat': 19.9}",IN,77,70.23,1015,0.65,11,83.1667,19.9
266,São José da Coroa Grande,"{'lon': -35.1478, 'lat': -8.8978}",BR,80,76.48,1015,8.39,10,-35.1478,-8.8978
267,Arrondissement de Carpentras,"{'lon': 5.1667, 'lat': 44.0833}",FR,73,51.01,1023,3.74,0,5.1667,44.0833
268,Ormond Beach,"{'lon': -81.0559, 'lat': 29.2858}",US,78,77.09,1016,1.99,90,-81.0559,29.2858
269,Makakilo City,"{'lon': -158.0858, 'lat': 21.3469}",US,65,80.92,1018,9.22,90,-158.0858,21.3469
270,West Bay,"{'lon': -81.4167, 'lat': 19.3667}",KY,81,84.27,1014,5.01,20,-81.4167,19.3667
271,Vila,"{'lon': -8.1588, 'lat': 42.0304}",PT,94,49.93,1023,1.34,68,-8.1588,42.0304
272,Half Moon Bay,"{'lon': -122.4286, 'lat': 37.4636}",US,94,63.3,1004,0.0,90,-122.4286,37.4636
273,Ketchikan,"{'lon': -131.6461, 'lat': 55.3422}",US,66,48.67,983,6.91,1,-131.6461,55.3422
274,Mīnāb,"{'lon': 57.0801, 'lat': 27.1467}",IR,72,83.7,1012,3.74,1,57.0801,27.1467
275,College,"{'lon': -147.8028, 'lat': 64.8569}",US,90,28.06,996,0.0,90,-147.8028,64.8569
276,Agadez,"{'lon': 10.25, 'lat': 19.75}",NE,15,79.45,1012,7.31,2,10.25,19.75
277,Lagunillas,"{'lon': -71.2595, 'lat': 10.1301}",VE,86,78.49,1012,5.57,91,-71.2595,10.1301
278,Santa Teresa del Tuy,"{'lon': -66.6631, 'lat': 10.2341}",VE,98,79.72,1016,1.95,93,-66.6631,10.2341
279,Tautira,"{'lon': -149.15, 'lat': -17.7333}",PF,84,73.42,1013,19.62,100,-149.15,-17.7333
280,Smithers,"{'lon': -127.1743, 'lat': 54.7804}",CA,87,35.92,987,2.3,75,-127.1743,54.7804
281,Wanning,"{'lon': 110.3967, 'lat': 18.8003}",CN,77,74.64,1017,12.39,100,110.3967,18.8003
282,Ubari,"{'lon': 12.7805, 'lat': 26.5921}",LY,39,74.23,1015,9.17,79,12.7805,26.5921
283,Ulaangom,"{'lon': 92.0667, 'lat': 49.9811}",MN,55,37.0,1029,0.6,4,92.0667,49.9811
284,Bilibino,"{'lon': 166.4372, 'lat': 68.0546}",RU,97,-11.7,1010,2.51,20,166.4372,68.0546
285,Aykhal,"{'lon': 111.5, 'lat': 66}",RU,96,23.36,996,5.5,100,111.5,66.0
286,Mossamedes,"{'lon': 12.1522, 'lat': -15.1961}",AO,87,61.97,1013,6.64,35,12.1522,-15.1961
287,Kalangala,"{'lon': 32.225, 'lat': -0.3089}",UG,78,70.74,1011,9.93,64,32.225,-0.3089
288,Paraná,"{'lon': -60.5238, 'lat': -31.732}",AR,63,65.52,1015,6.55,0,-60.5238,-31.732
289,Birjand,"{'lon': 59.2211, 'lat': 32.8663}",IR,15,46.87,1018,6.91,0,59.2211,32.8663
290,Iwamizawa,"{'lon': 141.7597, 'lat': 43.2003}",JP,59,57.25,1024,4.85,0,141.7597,43.2003
291,Gamovo,"{'lon': 56.1056, 'lat': 57.8652}",RU,93,37.02,1008,8.95,90,56.1056,57.8652
292,Mareeba,"{'lon': 145.4333, 'lat': -17}",AU,52,88.32,1013,11.14,0,145.4333,-17.0
293,Cap-aux-Meules,"{'lon': -61.8597, 'lat': 47.3821}",CA,93,50.05,1005,24.16,90,-61.8597,47.3821
294,Beyneu,"{'lon': 55.2, 'lat': 45.3167}",KZ,38,52.38,1015,7.47,100,55.2,45.3167
295,Cidreira,"{'lon': -50.2056, 'lat': -30.1811}",BR,67,60.1,1019,2.51,0,-50.2056,-30.1811
296,Sīrjān,"{'lon': 55.6814, 'lat': 29.452}",IR,36,53.11,1016,4.07,0,55.6814,29.452
297,Souillac,"{'lon': 57.5167, 'lat': -20.5167}",MU,78,74.35,1022,12.66,20,57.5167,-20.5167
298,Rāyadrug,"{'lon': 76.8667, 'lat': 14.7}",IN,79,74.7,1014,4.94,100,76.8667,14.7
299,San Ignacio,"{'lon': -89.0714, 'lat': 17.1561}",BZ,79,84.34,1012,6.91,75,-89.0714,17.1561
300,Hambantota,"{'lon': 81.1185, 'lat': 6.1241}",LK,100,77.34,1010,0.0,75,81.1185,6.1241
301,Tessalit,"{'lon': 1.0114, 'lat': 20.1986}",ML,23,82.35,1013,11.36,61,1.0114,20.1986
302,Krasnooktyabrskiy,"{'lon': 38.3712, 'lat': 44.9328}",RU,84,42.93,1027,3.24,76,38.3712,44.9328
303,Carupano,"{'lon': -63.2585, 'lat': 10.6678}",VE,90,77.52,1015,11.16,100,-63.2585,10.6678
304,Matane,"{'lon': -67.522, 'lat': 48.8286}",CA,1,45.63,1014,12.68,100,-67.522,48.8286
305,Novikovo,"{'lon': 37.8879, 'lat': 51.1537}",RU,80,31.68,1028,9.64,12,37.8879,51.1537
306,Malanje,"{'lon': 16.341, 'lat': -9.5402}",AO,94,64.49,1013,2.24,91,16.341,-9.5402
307,Naliya,"{'lon': 68.8333, 'lat': 23.2667}",IN,62,75.04,1014,5.88,0,68.8333,23.2667
308,Beloha,"{'lon': 45.05, 'lat': -25.1667}",MG,90,71.06,1018,10.04,52,45.05,-25.1667
309,Ekhabi,"{'lon': 142.9671, 'lat': 53.5102}",RU,78,45.18,1012,9.86,34,142.9671,53.5102
310,Hasaki,"{'lon': 140.8333, 'lat': 35.7333}",JP,50,66.6,1026,9.4,67,140.8333,35.7333
311,Esperance,"{'lon': 121.9, 'lat': -33.8667}",AU,32,76.84,1003,15.77,100,121.9,-33.8667
312,Vagay,"{'lon': 69.0217, 'lat': 57.9375}",RU,90,41.58,1005,11.12,100,69.0217,57.9375
313,Aljezur,"{'lon': -8.8033, 'lat': 37.3191}",PT,74,59.65,1021,6.91,100,-8.8033,37.3191
314,Rome,"{'lon': -75.4557, 'lat': 43.2128}",US,79,52.84,1018,4.61,90,-75.4557,43.2128
315,Yangi Marg`ilon,"{'lon': 71.7189, 'lat': 40.4272}",UZ,60,40.42,1016,6.91,0,71.7189,40.4272
316,Hervey Bay,"{'lon': 152.8535, 'lat': -25.2986}",AU,76,82.51,1014,2.77,91,152.8535,-25.2986
317,Albanel,"{'lon': -72.4487, 'lat': 48.8832}",CA,76,39.18,1020,5.75,42,-72.4487,48.8832
318,Norman Wells,"{'lon': -126.8329, 'lat': 65.282}",CA,93,23.04,997,4.61,90,-126.8329,65.282
319,Dumas,"{'lon': -101.9732, 'lat': 35.8656}",US,39,65.62,1014,5.75,1,-101.9732,35.8656
320,Khandyga,"{'lon': 135.6, 'lat': 62.6667}",RU,96,28.35,1003,1.07,100,135.6,62.6667
321,Antofagasta,"{'lon': -70.4, 'lat': -23.65}",CL,81,58.28,1018,1.74,0,-70.4,-23.65
322,Srednekolymsk,"{'lon': 153.6833, 'lat': 67.45}",RU,78,2.43,1004,2.86,100,153.6833,67.45
323,Houma,"{'lon': -90.7195, 'lat': 29.5958}",US,91,78.8,1012,1.99,0,-90.7195,29.5958
324,Talnakh,"{'lon': 88.3972, 'lat': 69.4865}",RU,97,27.09,991,8.59,100,88.3972,69.4865
325,Pacific Grove,"{'lon': -121.9166, 'lat': 36.6177}",US,85,66.58,1004,5.01,90,-121.9166,36.6177
326,Kidal,"{'lon': 1.4078, 'lat': 18.4411}",ML,22,89.58,1012,9.17,85,1.4078,18.4411
327,Sirte,"{'lon': 16.5887, 'lat': 31.2089}",LY,77,75.42,1013,13.09,96,16.5887,31.2089
328,Arona,"{'lon': -16.681, 'lat': 28.0996}",ES,68,66.74,1019,10.36,40,-16.681,28.0996
329,Zhigansk,"{'lon': 123.3711, 'lat': 66.7697}",RU,94,21.15,1000,4.79,98,123.3711,66.7697
330,Moose Jaw,"{'lon': -105.5344, 'lat': 50.4001}",CA,93,39.56,1014,16.11,100,-105.5344,50.4001
331,Okhotsk,"{'lon': 143.3, 'lat': 59.3833}",RU,70,22.51,1007,8.95,100,143.3,59.3833
332,Olafsvik,"{'lon': -23.7142, 'lat': 64.8945}",IS,88,42.24,989,21.81,100,-23.7142,64.8945
333,Ust'-Kan,"{'lon': 84.761, 'lat': 50.9276}",RU,79,32.63,1028,3.87,92,84.761,50.9276
334,Kerema,"{'lon': 145.7785, 'lat': -7.9631}",PG,71,85.44,1009,8.5,100,145.7785,-7.9631
335,Saldanha,"{'lon': 17.9442, 'lat': -33.0117}",ZA,74,51.85,1020,12.44,0,17.9442,-33.0117
336,Todos Santos,"{'lon': -110.2167, 'lat': 23.45}",MX,76,81.19,1011,5.41,2,-110.2167,23.45
337,Athens,"{'lon': 23.7162, 'lat': 37.9795}",GR,77,61.39,1022,11.01,100,23.7162,37.9795
338,Belmonte,"{'lon': -38.8828, 'lat': -15.8631}",BR,93,77.5,1016,6.44,82,-38.8828,-15.8631
339,Mosquera,"{'lon': -74.2302, 'lat': 4.7059}",CO,94,55.49,1028,3.44,40,-74.2302,4.7059
340,Payson,"{'lon': -111.7321, 'lat': 40.0444}",US,69,57.25,1009,11.5,90,-111.7321,40.0444
341,Whitianga,"{'lon': 175.7, 'lat': -36.8333}",NZ,97,61.18,1018,5.64,100,175.7,-36.8333
342,Verkhnevilyuysk,"{'lon': 120.3167, 'lat': 63.4453}",RU,95,33.13,999,4.92,100,120.3167,63.4453
343,Ruwi,"{'lon': 58.5507, 'lat': 23.5996}",OM,56,80.29,1012,2.55,6,58.5507,23.5996
344,Imbituba,"{'lon': -48.6703, 'lat': -28.24}",BR,70,65.82,1020,2.82,0,-48.6703,-28.24
345,Hobyo,"{'lon': 48.5268, 'lat': 5.3505}",SO,72,80.17,1013,11.07,100,48.5268,5.3505
346,Santo Antônio do Içá,"{'lon': -67.9397, 'lat': -3.1022}",BR,92,74.1,1009,0.51,100,-67.9397,-3.1022
347,Pisco,"{'lon': -76.2167, 'lat': -13.7}",PE,82,61.02,1015,14.97,0,-76.2167,-13.7
348,Tupik,"{'lon': 119.9327, 'lat': 54.4253}",RU,55,38.8,1010,3.06,65,119.9327,54.4253
349,Durham,"{'lon': -78.8664, 'lat': 36.0335}",US,85,68.31,1019,4.61,75,-78.8664,36.0335
350,Bartica,"{'lon': -58.6167, 'lat': 6.4}",GY,99,79.12,1014,1.79,100,-58.6167,6.4
351,Codrington,"{'lon': 141.9667, 'lat': -38.2667}",AU,60,55.4,1023,11.5,63,141.9667,-38.2667
352,Boffa,"{'lon': -14.0333, 'lat': 10.1667}",GN,90,72.5,1013,0.83,89,-14.0333,10.1667
353,Sisimiut,"{'lon': -53.6735, 'lat': 66.9395}",GL,79,17.71,1004,10.11,25,-53.6735,66.9395
354,Poya,"{'lon': 165.15, 'lat': -21.35}",NC,58,80.15,1014,6.13,0,165.15,-21.35
355,Arandis,"{'lon': 14.9667, 'lat': -22.4167}",NA,69,52.47,1014,5.14,0,14.9667,-22.4167
356,Acarí,"{'lon': -74.6158, 'lat': -15.4311}",PE,69,65.93,1017,3.15,32,-74.6158,-15.4311
357,Kaputa,"{'lon': 29.6619, 'lat': -8.4689}",ZM,63,75.33,1010,1.54,100,29.6619,-8.4689
358,Los Llanos de Aridane,"{'lon': -17.9182, 'lat': 28.6585}",ES,90,67.75,1019,1.99,75,-17.9182,28.6585
359,Cerrito,"{'lon': -72.694, 'lat': 6.8432}",CO,90,52.99,1022,6.44,96,-72.694,6.8432
360,Luanda,"{'lon': 13.2343, 'lat': -8.8368}",AO,77,73.76,1012,4.07,21,13.2343,-8.8368
361,Port Hedland,"{'lon': 118.5667, 'lat': -20.3167}",AU,24,91.45,1010,4.61,0,118.5667,-20.3167
362,Charters Towers,"{'lon': 146.2667, 'lat': -20.1}",AU,25,91.89,1012,7.07,77,146.2667,-20.1
363,Måløy,"{'lon': 5.1136, 'lat': 61.9353}",NO,93,51.73,1002,8.01,100,5.1136,61.9353
364,Takoradze,"{'lon': -1.7554, 'lat': 4.8845}",GH,90,76.98,1012,5.59,69,-1.7554,4.8845
365,Itarema,"{'lon': -39.9167, 'lat': -2.9248}",BR,75,79.29,1013,14.36,4,-39.9167,-2.9248
